Name,Imprecise-Biased,X3
Cobs,0.2,0.6
Cbiascv,0.3,
CAA_nsamp,50,100
CAA_ESS,10,20
CAL_nsamp,50,100
CAL_ESS,10,20
CALcv,0.1,0.15
Iobs,0.2,0.6
LenMbiascv,0.2,
Mbiascv,0.4,
Kbiascv,0.1,
t0biascv,0.1,
Linfbiascv,0.1,
LFCbiascv,0.1,
LFSbiascv,0.1,
B0cv,4,
FMSYbiascv,0.2,
FMSY_Mbiascv,0.5,
BMSY_B0biascv,0.2,
ageMcv,0.3,
rcv,0.5,
Fgaincv,0.5,
A50cv,1,
Dbiascv,0.75,
Dobs,0.05,0.2
Btbiascv,0.2,5
Btobs,0.2,0.5
Fcurbiascv,0.75,
Fcurcv,0.5,1
hbiascv,0.3,
Ibiascv,0.4,
maxagecv,0.2,
Recbiascv,0.1,0.3
Irefbiascv,0.3,
Crefbiascv,0.3,
Brefbiascv,0.5,
beta,0.333,3
sigmaRbiascv,0.1,
Eobs,0.2,0.6
Ebiascv,0.3,
